MarkerName	Allele1	Allele2	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
cg16125109			0.0535	0.0596	0.37	+-	9.8	1.108	1	0.2925
cg20431196			-0.0192	0.0802	0.8105	+-	3.3	1.035	1	0.3091
cg20786104			0.0164	0.0577	0.776	+-	0.0	0.935	1	0.3337
cg24590156			-0.0781	0.0375	0.03722	--	0.0	0.011	1	0.9161
cg16133822			-0.0091	0.0443	0.8382	-+	0.0	0.083	1	0.7732
cg06094707			-0.0171	0.0357	0.6321	-+	0.0	0.873	1	0.3501
cg02457310			0.0955	0.0443	0.03115	++	0.0	0.565	1	0.4524
cg12405265			-0.0210	0.0632	0.7397	-+	69.3	3.262	1	0.07092
cg25481538			0.1150	0.0740	0.1203	++	0.0	0.119	1	0.7296
cg11109444			0.0245	0.0344	0.4754	++	0.0	0.310	1	0.5778
cg12615770			0.0360	0.0526	0.4941	++	0.0	0.003	1	0.9572
cg18822703			0.0442	0.0404	0.274	+-	0.0	0.877	1	0.349
cg24235862			0.0195	0.0800	0.807	++	0.0	0.023	1	0.8804
cg10968815			0.1551	0.0590	0.008559	++	51.6	2.065	1	0.1507
cg05633931			-0.0449	0.0418	0.2828	-+	38.1	1.617	1	0.2036
cg08299755			-0.0348	0.0333	0.2964	-+	21.1	1.267	1	0.2604
cg10290988			-0.0748	0.0759	0.3247	-+	79.6	4.894	1	0.02695
cg15200801			-0.0235	0.0380	0.5368	--	0.0	0.171	1	0.6791
cg02423534			-0.0041	0.0351	0.9067	-+	9.0	1.099	1	0.2945
cg08510658			0.0181	0.0542	0.7382	-+	0.0	0.363	1	0.5471
cg14802591			-0.0376	0.0617	0.5419	-+	0.0	0.740	1	0.3897
cg16646626			0.0273	0.0601	0.6491	+-	0.0	0.273	1	0.6015
cg17651887			0.0511	0.0362	0.1574	++	0.0	0.762	1	0.3828
cg26618415			-0.0478	0.0401	0.2326	--	0.0	0.040	1	0.8424
cg01164094			-0.0714	0.0520	0.1698	--	0.0	0.598	1	0.4392
cg08815845			-0.0040	0.0533	0.9397	-+	0.0	0.044	1	0.8344
cg16011762			0.0286	0.0324	0.3773	++	0.0	0.450	1	0.5025
cg01820765			0.0302	0.0336	0.3687	-+	59.9	2.495	1	0.1142
cg16289120			0.0567	0.0344	0.09946	++	0.0	0.497	1	0.4807
cg23104436			0.0125	0.0580	0.8295	-+	0.0	0.083	1	0.7732
cg15428654			0.0835	0.0889	0.3477	++	0.0	0.385	1	0.5351
cg04118695			0.0566	0.0420	0.1774	++	0.0	0.000	1	0.9933
cg10474063			0.0890	0.0397	0.02493	++	39.1	1.641	1	0.2002
cg19040385			0.0951	0.0421	0.0239	++	0.0	0.263	1	0.6078
cg27392217			-0.0458	0.0641	0.4746	+-	84.9	6.603	1	0.01018
cg20815919			-0.0292	0.0315	0.3532	--	0.0	0.002	1	0.9624
cg11033909			0.0533	0.0647	0.4096	++	0.0	0.418	1	0.5177
cg20798460			0.0470	0.0605	0.4373	++	0.0	0.013	1	0.9094
cg12230180			-0.0634	0.0473	0.1805	--	0.0	0.174	1	0.6764
cg14666946			0.1029	0.1102	0.3502	++	0.0	0.792	1	0.3736
cg08937890			0.0106	0.0496	0.8302	+-	35.5	1.550	1	0.2131
cg09276565			0.0226	0.0686	0.7419	-+	71.0	3.443	1	0.06354
cg10724255			-0.0182	0.0254	0.4739	--	0.0	0.291	1	0.5895
cg10541313			-0.0220	0.0379	0.5618	--	0.0	0.027	1	0.8699
cg24663419			0.0353	0.0691	0.6097	-+	0.0	0.550	1	0.4582
cg24145739			0.0247	0.0430	0.5653	++	0.0	0.019	1	0.8916
cg24446586			-0.1940	0.0967	0.0448	--	0.0	0.404	1	0.5249
cg26341848			0.0965	0.0459	0.03529	++	0.0	0.018	1	0.892
cg03306780			-0.0577	0.0388	0.1378	--	0.0	0.480	1	0.4883
cg08995327			0.0425	0.0494	0.3894	++	0.0	0.003	1	0.9589
cg14087513			-0.0285	0.0422	0.4997	-+	19.9	1.249	1	0.2638
cg01431576			0.0410	0.0423	0.332	++	0.0	0.233	1	0.6294
cg20779955			-0.1177	0.0894	0.188	--	0.0	0.003	1	0.9562
cg25409889			0.0118	0.0543	0.828	+-	0.0	0.600	1	0.4387
cg04904458			0.0518	0.0431	0.2295	++	0.0	0.193	1	0.6608
cg23991989			0.0550	0.0327	0.09247	++	0.0	0.072	1	0.7878
cg08138109			-0.0246	0.0394	0.5316	+-	60.5	2.533	1	0.1115
cg09127129			-0.0011	0.0399	0.9785	+-	0.0	0.075	1	0.7842
cg02693447			0.0394	0.1003	0.6941	-+	0.0	0.303	1	0.5818
cg25481439			-0.0451	0.0363	0.2136	--	50.1	2.003	1	0.157
cg27012531			-0.0622	0.0787	0.4292	-+	14.8	1.173	1	0.2788
cg04652943			0.0784	0.1139	0.4915	++	0.0	0.004	1	0.9476
cg26932154			-0.0577	0.0615	0.3481	--	0.0	0.004	1	0.9521
cg05684050			-0.0508	0.0562	0.3666	--	0.0	0.041	1	0.839
cg05534464			-0.0805	0.0457	0.07803	--	66.6	2.996	1	0.08348
cg09247392			0.0092	0.0399	0.8169	-+	0.0	0.381	1	0.5371
cg05967679			0.1494	0.0797	0.06088	++	0.0	0.042	1	0.8372
cg25306586			0.0736	0.1047	0.4822	++	0.0	0.406	1	0.5239
cg20839206			-0.0308	0.0689	0.6543	+-	0.1	1.001	1	0.3172
cg09000015			-0.0943	0.0528	0.07402	--	0.0	0.294	1	0.5874
cg20799758			0.0210	0.0500	0.6749	++	0.0	0.007	1	0.9311
cg04031491			0.0704	0.0447	0.1152	++	0.0	0.529	1	0.4672
cg04194424			-0.0116	0.0598	0.8456	-+	0.0	0.175	1	0.6759
cg01396418			-0.0722	0.0466	0.121	--	0.0	0.000	1	0.9941
cg26276877			-0.0277	0.0277	0.3168	+-	52.5	2.104	1	0.147
cg11837329			0.0247	0.0479	0.6063	-+	22.6	1.291	1	0.2558
cg00187451			-0.0902	0.0465	0.05245	--	0.0	0.501	1	0.4793
cg10433904			0.0062	0.0410	0.8798	+-	0.0	0.672	1	0.4123
cg12288189			-0.0414	0.0438	0.3443	+-	48.3	1.935	1	0.1642
cg23252899			-0.0194	0.0473	0.682	--	0.0	0.000	1	0.9836
cg13547223			-0.0111	0.0488	0.8192	+-	46.7	1.876	1	0.1708
cg09862303			0.0044	0.0470	0.9254	-+	0.0	0.199	1	0.6554
cg05780177			-0.0208	0.0419	0.6189	--	0.0	0.109	1	0.7417
cg17118239			0.0494	0.0501	0.3237	-+	67.0	3.029	1	0.08181
cg07541798			-0.0171	0.0456	0.7078	--	0.0	0.005	1	0.9437
cg08189104			-0.0015	0.0307	0.9612	+-	0.0	0.216	1	0.6423
cg15647266			-0.0325	0.0697	0.6416	--	0.0	0.043	1	0.8356
cg15425427			-0.1212	0.0333	0.0002765	--	82.2	5.613	1	0.01783
cg26413900			0.1636	0.0543	0.002561	++	35.7	1.556	1	0.2122
cg18787437			-0.0503	0.0355	0.156	--	0.0	0.055	1	0.8153
cg00858894			-0.0917	0.0513	0.0739	--	0.0	0.178	1	0.6733
cg21359335			-0.0143	0.0426	0.7363	+-	0.0	0.319	1	0.572
cg14738611			-0.0443	0.0498	0.3736	--	0.0	0.228	1	0.6332
cg15750986			0.0990	0.0819	0.2266	++	0.0	0.356	1	0.5505
cg08828733			-0.1281	0.0858	0.1355	--	0.0	0.335	1	0.5628
cg02448254			0.0504	0.0831	0.5441	++	0.0	0.025	1	0.8739
cg01508327			-0.0024	0.0618	0.9687	+-	0.0	0.415	1	0.5193
cg05471775			-0.0449	0.0437	0.3044	-+	65.3	2.883	1	0.08951
cg06603466			-0.0819	0.0402	0.04175	--	35.1	1.540	1	0.2146
cg10270770			-0.0958	0.0506	0.05801	--	0.0	0.416	1	0.5191
cg05912053			-0.0333	0.0435	0.4436	-+	49.0	1.962	1	0.1613
cg11726288			0.0046	0.0529	0.9306	-+	0.0	0.410	1	0.522
cg14384569			0.0080	0.0251	0.749	-+	53.3	2.141	1	0.1434
cg21607465			-0.0030	0.0522	0.9549	-+	0.0	0.266	1	0.6059
cg10787713			-0.0317	0.0489	0.5162	--	0.0	0.000	1	0.9928
cg00186181			-0.0971	0.0544	0.07427	--	0.0	0.019	1	0.8903
cg01109481			-0.0672	0.1211	0.5792	-+	0.0	0.685	1	0.4078
cg11278510			0.0355	0.0374	0.3428	++	0.0	0.250	1	0.6168
cg08556445			0.0086	0.0317	0.7863	++	0.0	0.086	1	0.7699
cg23979677			-0.0914	0.0607	0.1323	--	18.2	1.222	1	0.269
cg19672644			-0.0060	0.0371	0.8723	+-	0.0	0.075	1	0.7846
cg19659987			-0.0673	0.0458	0.1416	--	0.0	0.060	1	0.806
cg06315607			-0.0310	0.0462	0.502	-+	0.0	0.301	1	0.5832
cg22836769			-0.0084	0.0401	0.8344	+-	44.0	1.787	1	0.1813
cg13845952			-0.0537	0.0717	0.454	-+	0.0	0.713	1	0.3985
cg10384138			-0.0516	0.0956	0.5892	-+	0.0	0.053	1	0.8187
cg04989124			-0.0009	0.0511	0.9858	+-	0.0	0.001	1	0.976
cg07075238			0.0081	0.0434	0.8528	-+	0.0	0.068	1	0.7944
cg08634298			-0.0196	0.0738	0.7903	--	0.0	0.045	1	0.8316
cg15985703			0.0389	0.0475	0.4127	++	16.5	1.198	1	0.2738
cg02513639			-0.0040	0.0710	0.9555	+-	0.0	0.500	1	0.4797
cg26299194			0.0118	0.0585	0.8396	-+	86.6	7.455	1	0.006326
cg05432083			0.0131	0.0300	0.6628	++	0.0	0.247	1	0.6195
cg15065912			0.0872	0.0456	0.05594	++	0.0	0.045	1	0.8315
cg06756557			-0.0087	0.0490	0.8594	-+	0.0	0.939	1	0.3327
cg01676962			0.0042	0.0525	0.9361	-+	51.1	2.045	1	0.1527
cg17946043			-0.0264	0.0613	0.666	--	0.0	0.078	1	0.7804
cg13968943			-0.0037	0.0449	0.9344	-+	0.0	0.713	1	0.3984
cg21286215			0.0262	0.0373	0.4825	++	0.0	0.436	1	0.5088
cg27492942			0.1277	0.0675	0.0585	++	46.8	1.879	1	0.1704
cg07153180			0.0197	0.0504	0.6958	++	0.0	0.003	1	0.9577
cg12797684			0.0489	0.0749	0.5137	++	0.0	0.087	1	0.7676
cg06173395			-0.0123	0.0362	0.7342	--	0.0	0.034	1	0.8527
cg12066594			-0.0213	0.0296	0.4729	--	0.0	0.119	1	0.7305
cg03597491			-0.0314	0.0355	0.3763	-+	6.7	1.071	1	0.3007
cg06472554			0.0812	0.0550	0.1398	++	0.0	0.012	1	0.914
cg12818241			0.0461	0.0348	0.1858	++	36.2	1.566	1	0.2107
cg26501269			0.0372	0.0473	0.4316	++	0.0	0.539	1	0.4626
cg08388995			-0.0090	0.0482	0.8516	-+	0.0	0.048	1	0.8274
cg10442355			-0.0408	0.0701	0.5608	--	0.0	0.033	1	0.8561
cg02254407			0.1199	0.1582	0.4484	-+	76.3	4.216	1	0.04005
cg19875370			0.0637	0.0902	0.4804	++	0.0	0.523	1	0.4696
cg16917654			-0.1301	0.0403	0.00124	--	0.0	0.144	1	0.704
cg04024095			-0.1176	0.0485	0.01522	--	0.0	0.079	1	0.7782
cg17383101			0.0113	0.0561	0.8402	-+	39.7	1.658	1	0.1978
cg27640794			-0.2333	0.1107	0.03504	--	54.8	2.211	1	0.1371
cg02649698			-0.0120	0.1102	0.9131	+-	0.0	0.694	1	0.4047
cg06700146			0.0049	0.1035	0.9622	+-	0.0	0.004	1	0.9467
cg14871096			0.0001	0.0379	0.9979	-+	0.0	0.011	1	0.9169
cg16509336			-0.0034	0.0371	0.9265	+-	0.0	0.442	1	0.5064
cg06723512			-0.0070	0.0549	0.8982	-+	0.0	0.284	1	0.5939
cg18826520			-0.0136	0.0290	0.6381	+-	0.0	0.926	1	0.3358
cg01397521			-0.0109	0.0358	0.7606	-+	0.0	0.037	1	0.8484
cg21878112			0.0075	0.0416	0.8559	+-	0.0	0.287	1	0.5921
cg04010004			0.0582	0.0591	0.3247	++	0.0	0.274	1	0.6005
cg26615130			-0.0474	0.0302	0.1175	--	0.0	0.014	1	0.9075
cg12142326			-0.0654	0.0767	0.3935	-+	7.8	1.084	1	0.2978
cg02492873			0.0215	0.0673	0.7494	-+	0.0	0.311	1	0.5769
cg07324898			0.0049	0.1111	0.9646	-+	0.0	0.546	1	0.4599
cg04815923			-0.0384	0.0513	0.4545	--	0.0	0.063	1	0.8022
cg20256804			0.0685	0.0605	0.2573	++	0.0	0.579	1	0.4468
cg18067127			-0.0327	0.0525	0.5337	+-	16.8	1.202	1	0.2729
cg00197306			0.0298	0.0415	0.4716	++	0.0	0.477	1	0.4896
cg20707195			0.0659	0.0707	0.3513	++	0.0	0.024	1	0.8758
cg24890964			0.0503	0.0290	0.08299	++	0.0	0.469	1	0.4935
cg14299157			0.0223	0.0493	0.6506	++	0.0	0.062	1	0.8041
cg17756587			0.0062	0.0391	0.8743	+-	22.8	1.295	1	0.2551
cg18997635			0.0604	0.0357	0.09093	++	0.0	0.002	1	0.9613
cg19098493			0.0304	0.0847	0.72	+-	59.8	2.486	1	0.1148
cg24586121			-0.0936	0.0862	0.2772	--	0.0	0.897	1	0.3436
cg03529595			0.1078	0.0604	0.07408	++	0.0	0.158	1	0.6913
cg03411507			-0.0691	0.1258	0.583	-+	8.2	1.090	1	0.2966
cg21553447			-0.0773	0.0257	0.002598	--	0.0	0.159	1	0.6904
cg00544816			0.0592	0.0671	0.3777	++	0.0	0.074	1	0.7863
cg22460642			-0.0357	0.0432	0.4092	--	0.0	0.457	1	0.4989
cg26255194			-0.0250	0.0386	0.5181	--	0.0	0.008	1	0.927
cg11276456			-0.0386	0.0231	0.09501	--	0.0	0.003	1	0.9537
cg11102493			-0.0029	0.0583	0.9609	+-	0.0	0.294	1	0.5875
cg22140446			0.0704	0.1100	0.5224	++	0.0	0.197	1	0.657
cg25315816			-0.0601	0.0983	0.541	--	0.0	0.074	1	0.786
cg27560629			0.0353	0.0531	0.5055	++	0.0	0.058	1	0.809
cg03701331			0.0792	0.0430	0.0654	++	59.3	2.458	1	0.1169
cg23536353			-0.0039	0.0471	0.9337	--	0.0	0.002	1	0.9684
cg10911062			0.0219	0.0769	0.7757	+-	24.4	1.323	1	0.2501
cg15335462			-0.0445	0.0551	0.4194	--	0.0	0.082	1	0.7749
cg13251608			0.0414	0.0483	0.3918	++	0.0	0.001	1	0.9692
cg22833485			-0.0341	0.0416	0.4122	+-	65.5	2.900	1	0.08857
cg24100475			0.0161	0.0285	0.5723	+-	0.0	0.378	1	0.5386
cg13662644			0.0534	0.0346	0.1224	++	0.0	0.642	1	0.4231
cg17893343			-0.0248	0.0696	0.7211	--	0.0	0.019	1	0.891
cg23959977			-0.0752	0.1165	0.5188	--	0.0	0.123	1	0.726
cg06919205			0.0190	0.0392	0.6268	++	0.0	0.111	1	0.7385
cg21151883			-0.0233	0.0267	0.3832	-+	0.0	0.434	1	0.51
cg16733714			0.0678	0.0304	0.02576	++	0.0	0.476	1	0.4901
cg08126211			0.0747	0.0754	0.3216	++	0.0	0.239	1	0.6248
cg06354759			0.0442	0.0384	0.2497	++	0.0	0.005	1	0.9413
cg03763002			0.0069	0.0502	0.8906	-+	40.8	1.688	1	0.1939
cg19017193			-0.0751	0.0433	0.08252	--	0.0	0.063	1	0.8018
cg07918578			0.0164	0.0421	0.6969	+-	62.3	2.656	1	0.1032
cg08868352			0.0722	0.0607	0.2341	++	0.0	0.039	1	0.8443
cg15798008			0.0482	0.1040	0.6433	-+	0.0	0.196	1	0.6578
cg15808911			0.0189	0.0414	0.649	-+	0.0	0.333	1	0.564
cg08956712			0.0030	0.0904	0.9734	-+	0.0	0.572	1	0.4494
cg14030674			0.0699	0.0484	0.1489	++	0.0	0.180	1	0.6715
cg20155837			0.0287	0.0358	0.4229	++	0.0	0.776	1	0.3783
cg21160774			0.1009	0.0472	0.03255	++	54.7	2.205	1	0.1375
cg18674212			0.0381	0.0261	0.1452	++	0.0	0.001	1	0.9719
cg09159993			0.0381	0.0400	0.3405	++	0.0	0.014	1	0.9072
cg12006045			-0.0286	0.0443	0.5193	--	0.0	0.003	1	0.958
cg03058337			0.0053	0.0294	0.8558	-+	0.0	0.223	1	0.6368
cg18040502			-0.0429	0.0488	0.3801	-+	79.5	4.882	1	0.02714
cg20623869			-0.0121	0.0841	0.8852	+-	61.8	2.620	1	0.1055
cg09684020			-0.0068	0.0332	0.8368	-+	0.0	0.284	1	0.5942
cg05632435			-0.0611	0.0444	0.1692	-+	35.9	1.559	1	0.2118
cg00317020			-0.0185	0.0754	0.806	--	0.0	0.019	1	0.8913
cg00934847			-0.0501	0.0396	0.2053	--	0.1	1.001	1	0.317
cg14629220			-0.0366	0.0405	0.3661	--	0.0	0.064	1	0.8002
cg20972216			-0.0027	0.0353	0.939	--	0.0	0.010	1	0.9212
cg11903854			0.0350	0.0586	0.5499	++	0.0	0.011	1	0.9158
cg17337269			-0.0383	0.0548	0.4842	-+	24.2	1.319	1	0.2507
cg13032656			0.0190	0.0821	0.8169	-+	5.0	1.053	1	0.3049
cg19360943			-0.5429	0.2535	0.03221	--	0.0	0.791	1	0.3738
cg15393297			0.0209	0.0411	0.6113	++	0.0	0.151	1	0.6974
cg00819895			-0.0661	0.1387	0.6339	-+	0.0	0.776	1	0.3784
cg10248100			-0.0181	0.0862	0.8341	-+	76.5	4.247	1	0.03932
cg16864803			-0.0898	0.0876	0.3049	--	0.0	0.445	1	0.5047
cg25600383			0.0525	0.0663	0.428	+-	67.5	3.080	1	0.07924
cg08613634			0.0199	0.0409	0.6261	++	0.0	0.197	1	0.6568
cg22403344			-0.0032	0.0562	0.9544	-+	0.0	0.006	1	0.939
cg08860879			-0.0639	0.1202	0.5952	+-	0.0	0.521	1	0.4705
cg00357368			-0.0282	0.0254	0.2669	--	0.0	0.385	1	0.5347
cg13785727			0.1087	0.0682	0.1111	++	43.4	1.767	1	0.1838
cg15916745			-0.0648	0.1115	0.5614	+-	4.9	1.051	1	0.3052
cg05049350			-0.0241	0.0444	0.5866	-+	17.0	1.204	1	0.2724
cg16141316			-0.0470	0.0360	0.1907	-+	78.2	4.578	1	0.03238
cg13516087			-0.0768	0.0518	0.1379	--	0.0	0.000	1	0.9935
cg05124813			0.0720	0.0423	0.08909	++	29.2	1.412	1	0.2347
cg15011727			0.0207	0.0419	0.6205	++	0.0	0.003	1	0.9592
cg01511514			0.0486	0.0878	0.5798	+-	36.8	1.581	1	0.2086
cg01662769			-0.0781	0.0292	0.00756	--	21.0	1.266	1	0.2605
cg13759601			-0.0529	0.0923	0.5665	--	0.0	0.006	1	0.9359
cg01251150			0.0042	0.0665	0.9498	-+	0.0	0.183	1	0.669
cg27268486			-0.0644	0.0599	0.2824	--	0.0	0.605	1	0.4365
cg06145614			0.0262	0.0464	0.5728	-+	0.0	0.774	1	0.3791
cg17696091			0.0765	0.0436	0.07969	+-	80.3	5.063	1	0.02444
cg18021257			0.0239	0.0493	0.6281	++	0.0	0.037	1	0.8485
cg23167351			-0.0633	0.0463	0.1712	--	0.0	0.611	1	0.4344
cg12408438			-0.0110	0.0543	0.839	-+	0.0	0.617	1	0.4323
cg04462650			-0.0078	0.0384	0.8386	-+	77.6	4.468	1	0.03454
cg21305452			-0.0244	0.0793	0.7587	+-	48.7	1.948	1	0.1628
cg02919030			-0.1506	0.0664	0.02341	-+	68.6	3.187	1	0.07421
cg19246545			-0.1606	0.1092	0.1413	--	0.0	0.356	1	0.5505
cg22427797			-0.0262	0.0574	0.6483	--	0.0	0.105	1	0.7459
cg12385093			0.0189	0.0710	0.7904	-+	68.3	3.155	1	0.07568
cg09756121			-0.0931	0.0566	0.09997	--	0.0	0.302	1	0.5826
cg04538551			-0.0116	0.1051	0.9122	--	0.0	0.006	1	0.937
cg06749285			-0.0002	0.0525	0.9977	+-	0.0	0.346	1	0.5565
cg13058868			0.0089	0.1076	0.9339	+-	0.0	0.083	1	0.7736
cg08779853			0.0855	0.0626	0.172	++	0.0	0.258	1	0.6117
cg17952468			0.0284	0.0356	0.4251	++	0.0	0.560	1	0.4544
cg01856383			0.0360	0.0801	0.6535	+-	25.6	1.343	1	0.2465
cg26719061			-0.0110	0.0565	0.8455	+-	0.0	0.445	1	0.5047
cg04304434			0.0552	0.0412	0.1802	++	43.1	1.759	1	0.1848
cg20779700			0.0760	0.0354	0.03173	++	0.0	0.860	1	0.3536
cg03434609			0.0387	0.0478	0.418	++	0.0	0.012	1	0.9111
cg17347386			0.0198	0.0841	0.8142	++	0.0	0.002	1	0.9601
cg08500346			-0.0917	0.0477	0.05449	--	0.0	0.967	1	0.3255
cg05872729			-0.0557	0.0561	0.3207	-+	0.0	0.777	1	0.3781
cg12220843			0.0731	0.0511	0.153	++	0.0	0.351	1	0.5533
cg09614729			0.0516	0.0584	0.3772	++	0.0	0.164	1	0.6859
cg18956355			-0.0283	0.0515	0.5834	+-	0.0	0.439	1	0.5078
cg15069362			0.1403	0.0844	0.09661	++	50.5	2.021	1	0.1552
cg00126946			-0.0130	0.0392	0.7395	--	0.0	0.039	1	0.8433
cg17611262			-0.0536	0.0422	0.2035	--	0.0	0.137	1	0.711
cg13150171			0.0868	0.0634	0.1711	++	0.0	0.033	1	0.8563
cg25963061			0.0318	0.0476	0.5044	++	0.0	0.001	1	0.9809
cg09528988			-0.0358	0.0275	0.1924	--	14.2	1.165	1	0.2804
cg13793262			-0.0773	0.0739	0.2951	--	0.0	0.981	1	0.322
cg19755544			-0.0211	0.0329	0.5213	-+	0.0	0.267	1	0.6053
cg19954348			0.0313	0.0553	0.5714	++	0.0	0.001	1	0.973
cg07511021			-0.0363	0.0970	0.708	--	0.0	0.022	1	0.8822
cg11794625			-0.0007	0.0366	0.9838	+-	0.0	0.001	1	0.9699
cg12273502			0.0615	0.0497	0.2158	-+	29.2	1.412	1	0.2348
cg16450330			-0.0543	0.0336	0.1056	--	0.0	0.566	1	0.4518
cg16133940			0.0169	0.0384	0.6601	+-	30.9	1.447	1	0.229
cg06178669			-0.1612	0.1088	0.1382	--	0.0	0.322	1	0.5704
cg10006314			0.1444	0.0846	0.08808	+-	0.8	1.008	1	0.3153
cg12155547			-0.1227	0.0931	0.1876	-+	64.5	2.817	1	0.09325
cg18742097			0.0568	0.0347	0.1016	++	0.0	0.025	1	0.8748
cg10866482			0.0079	0.0384	0.8376	+-	0.0	0.567	1	0.4516
cg11374884			0.0390	0.0346	0.2604	++	0.0	0.007	1	0.934
cg09521455			0.0065	0.0789	0.9339	+-	0.0	0.021	1	0.884
cg23733857			0.0454	0.0607	0.4547	+-	81.7	5.477	1	0.01927
cg16218074			-0.0405	0.0520	0.4363	+-	0.0	0.212	1	0.645
cg05358025			-0.0036	0.0482	0.9412	+-	0.0	0.718	1	0.3969
